Timestamp,Source,Joint,PositionX,PositionY,PositionZ,RotationX,RotationY,RotationZ,RotationW,PinchAmount,TrackingSource
2026-08-25T18:00:57.985Z,right,wrist_1_joint,-39.225,0,-10.915,0,0,0.9940932,0.1085301,NULL,HEADSET
2026-08-25T18:00:57.985Z,right,wrist_2_joint,0,-9.465002,0,0,0.4445758,0,0.8957412,NULL,HEADSET
2026-08-25T18:00:57.985Z,right,wrist_3_joint,0,0,-8.23,0,0,-0.2622826,0.9649912,NULL,HEADSET
2026-08-25T18:00:57.985Z,right,gripper,NULL,NULL,NULL,0,0,0,1,0.4105947,HEADSET
2026-08-25T18:00:58.009Z,right,endEffector,0.20988,0.0271364,0.5226579,0.6814623,0.0210136,-0.7204978,0.1266904,NULL,HEADSET
2026-08-25T18:00:58.009Z,right,base,0.09024534,-0.6119821,0.7240687,0.08906654,0.9257089,0.0009821272,0.3675996,NULL,HEADSET
2026-08-25T18:00:58.009Z,right,shoulder_pan_joint,0,8.9159,0,0,-0.7144142,0,0.6997231,NULL,HEADSET
2026-08-25T18:00:58.009Z,right,shoulder_lift_joint,NULL,NULL,NULL,0,0,-0.612639,0.7903629,NULL,HEADSET
2026-08-25T18:00:58.009Z,right,elbow_joint,-42.5,0,0,0,0,-0.5422931,0.8401894,NULL,HEADSET
2026-08-25T18:00:58.009Z,right,wrist_1_joint,-39.225,0,-10.915,0,0,0.9940932,0.1085301,NULL,HEADSET
2026-08-25T18:00:58.009Z,right,wrist_2_joint,0,-9.465002,0,0,0.4445758,0,0.8957412,NULL,HEADSET
2026-08-25T18:00:58.009Z,right,wrist_3_joint,0,0,-8.23,0,0,-0.2622826,0.9649912,NULL,HEADSET
2026-08-25T18:00:58.009Z,right,gripper,NULL,NULL,NULL,0,0,0,1,0.4100135,HEADSET
2026-08-25T18:00:58.027Z,right,endEffector,0.2102925,0.02703273,0.5223364,0.6810511,0.02095711,-0.7210878,0.1255495,NULL,HEADSET
2026-08-25T18:00:58.027Z,right,base,0.09065509,-0.6119625,0.724013,0.08976445,0.9259004,0.0004971735,0.3669477,NULL,HEADSET
2026-08-25T18:00:58.027Z,right,shoulder_pan_joint,0,8.9159,0,0,-0.7144142,0,0.6997231,NULL,HEADSET
2026-08-25T18:00:58.027Z,right,shoulder_lift_joint,NULL,NULL,NULL,0,0,-0.612639,0.7903629,NULL,HEADSET
2026-08-25T18:00:58.027Z,right,elbow_joint,-42.5,0,0,0,0,-0.5422931,0.8401894,NULL,HEADSET
2026-08-25T18:00:58.027Z,right,wrist_1_joint,-39.225,0,-10.915,0,0,0.9940932,0.1085301,NULL,HEADSET
2026-08-25T18:00:58.027Z,right,wrist_2_joint,0,-9.465002,0,0,0.4445758,0,0.8957412,NULL,HEADSET
2026-08-25T18:00:58.027Z,right,wrist_3_joint,0,0,-8.23,0,0,-0.2622826,0.9649912,NULL,HEADSET
2026-08-25T18:00:58.027Z,right,gripper,NULL,NULL,NULL,0,0,0,1,0.4097715,HEADSET
2026-08-25T18:00:58.050Z,right,endEffector,0.2104771,0.02731567,0.5223668,0.6809977,0.02096723,-0.7211263,0.1256165,NULL,HEADSET
2026-08-25T18:00:58.050Z,right,base,0.09126008,-0.6116664,0.7242244,0.08957801,0.9260072,0.0003293762,0.3667239,NULL,HEADSET
2026-08-25T18:00:58.050Z,right,shoulder_pan_joint,0,8.9159,0,0,-0.7144142,0,0.6997231,NULL,HEADSET
2026-08-25T18:00:58.050Z,right,shoulder_lift_joint,NULL,NULL,NULL,0,0,-0.612639,0.7903629,NULL,HEADSET
2026-08-25T18:00:58.050Z,right,elbow_joint,-42.5,0,0,0,0,-0.5422931,0.8401894,NULL,HEADSET
2026-08-25T18:00:58.050Z,right,wrist_1_joint,-39.225,0,-10.915,0,0,0.9940932,0.1085301,NULL,HEADSET
2026-08-25T18:00:58.050Z,right,wrist_2_joint,0,-9.465002,0,0,0.4445758,0,0.8957412,NULL,HEADSET
2026-08-25T18:00:58.050Z,right,wrist_3_joint,0,0,-8.23,0,0,-0.2622826,0.9649912,NULL,HEADSET
2026-08-25T18:00:58.050Z,right,gripper,NULL,NULL,NULL,0,0,0,1,0.4097716,HEADSET
2026-08-25T18:00:58.067Z,right,endEffector,0.210325,0.02734928,0.5222749,0.6809325,0.02155149,-0.7211046,0.1259956,NULL,HEADSET
2026-08-25T18:00:58.067Z,right,base,0.09257075,-0.6118734,0.7239577,0.08918161,0.9261428,0.0005773176,0.3664779,NULL,HEADSET
2026-08-25T18:00:58.067Z,right,shoulder_pan_joint,0,8.9159,0,0,-0.7144142,0,0.6997231,NULL,HEADSET
2026-08-25T18:00:58.067Z,right,shoulder_lift_joint,NULL,NULL,NULL,0,0,-0.612639,0.7903629,NULL,HEADSET
2026-08-25T18:00:58.067Z,right,elbow_joint,-42.5,0,0,0,0,-0.5422931,0.8401894,NULL,HEADSET
2026-08-25T18:00:58.067Z,right,wrist_1_joint,-39.225,0,-10.915,0,0,0.9940932,0.1085301,NULL,HEADSET
2026-08-25T18:00:58.067Z,right,wrist_2_joint,0,-9.465002,0,0,0.4445758,0,0.8957412,NULL,HEADSET
2026-08-25T18:00:58.067Z,right,wrist_3_joint,0,0,-8.23,0,0,-0.2622826,0.9649912,NULL,HEADSET
2026-08-25T18:00:58.067Z,right,gripper,NULL,NULL,NULL,0,0,0,1,0.409811,HEADSET
2026-08-25T18:00:58.090Z,right,endEffector,0.2102298,0.0268675,0.5224389,0.6807462,0.02196006,-0.7212685,0.1259928,NULL,HEADSET
2026-08-25T18:00:58.090Z,right,base,0.09294468,-0.6125634,0.7233934,0.08933678,0.9261919,0.000955482,0.3663151,NULL,HEADSET
2026-08-25T18:00:58.090Z,right,shoulder_pan_joint,0,8.9159,0,0,-0.7144142,0,0.6997231,NULL,HEADSET
2026-08-25T18:00:58.090Z,right,shoulder_lift_joint,NULL,NULL,NULL,0,0,-0.612639,0.7903629,NULL,HEADSET
2026-08-25T18:00:58.090Z,right,elbow_joint,-42.5,0,0,0,0,-0.5422931,0.8401894,NULL,HEADSET
2026-08-25T18:00:58.090Z,right,wrist_1_joint,-39.225,0,-10.915,0,0,0.9940932,0.1085301,NULL,HEADSET
2026-08-25T18:00:58.090Z,right,wrist_2_joint,0,-9.465002,0,0,0.4445758,0,0.8957412,NULL,HEADSET
2026-08-25T18:00:58.090Z,right,wrist_3_joint,0,0,-8.23,0,0,-0.2622826,0.9649912,NULL,HEADSET
2026-08-25T18:00:58.090Z,right,gripper,NULL,NULL,NULL,0,0,0,1,0.4094331,HEADSET
2026-08-25T18:00:58.110Z,right,endEffector,0.2096642,0.0262475,0.5227596,0.6803316,0.02334148,-0.7217452,0.1252515,NULL,HEADSET
2026-08-25T18:00:58.110Z,right,base,0.09375548,-0.6136364,0.7222935,0.08941908,0.9262653,0.001766493,0.3661063,NULL,HEADSET
2026-08-25T18:00:58.110Z,right,shoulder_pan_joint,0,8.9159,0,0,-0.7144142,0,0.6997231,NULL,HEADSET
2026-08-25T18:00:58.110Z,right,shoulder_lift_joint,NULL,NULL,NULL,0,0,-0.612639,0.7903629,NULL,HEADSET
2026-08-25T18:00:58.110Z,right,elbow_joint,-42.5,0,0,0,0,-0.5422931,0.8401894,NULL,HEADSET
2026-08-25T18:00:58.110Z,right,wrist_1_joint,-39.225,0,-10.915,0,0,0.9940932,0.1085301,NULL,HEADSET
2026-08-25T18:00:58.110Z,right,wrist_2_joint,0,-9.465002,0,0,0.4445758,0,0.8957412,NULL,HEADSET
2026-08-25T18:00:58.110Z,right,wrist_3_joint,0,0,-8.23,0,0,-0.2622826,0.9649912,NULL,HEADSET
2026-08-25T18:00:58.110Z,right,gripper,NULL,NULL,NULL,0,0,0,1,0.4092112,HEADSET
2026-08-25T18:00:58.133Z,right,endEffector,0.2091057,0.02635257,0.5227086,0.6803983,0.02350124,-0.7215939,0.12573,NULL,HEADSET
2026-08-25T18:00:58.133Z,right,base,0.09409809,-0.6136172,0.722271,0.08926671,0.9262846,0.001832747,0.3660943,NULL,HEADSET
2026-08-25T18:00:58.133Z,right,shoulder_pan_joint,0,8.9159,0,0,-0.7144142,0,0.6997231,NULL,HEADSET
2026-08-25T18:00:58.133Z,right,shoulder_lift_joint,NULL,NULL,NULL,0,0,-0.612639,0.7903629,NULL,HEADSET
2026-08-25T18:00:58.133Z,right,elbow_joint,-42.5,0,0,0,0,-0.5422931,0.8401894,NULL,HEADSET
2026-08-25T18:00:58.133Z,right,wrist_1_joint,-39.225,0,-10.915,0,0,0.9940932,0.1085301,NULL,HEADSET
2026-08-25T18:00:58.133Z,right,wrist_2_joint,0,-9.465002,0,0,0.4445758,0,0.8957412,NULL,HEADSET
2026-08-25T18:00:58.133Z,right,wrist_3_joint,0,0,-8.23,0,0,-0.2622826,0.9649912,NULL,HEADSET
2026-08-25T18:00:58.133Z,right,gripper,NULL,NULL,NULL,0,0,0,1,0.4095463,HEADSET
2026-08-25T18:00:58.151Z,right,endEffector,0.2089543,0.02638611,0.5232451,0.6806546,0.02398581,-0.7213323,0.1257526,NULL,HEADSET
2026-08-25T18:00:58.151Z,right,base,0.09483668,-0.6135992,0.7222852,0.08906689,0.9263457,0.001818549,0.3659883,NULL,HEADSET
2026-08-25T18:00:58.151Z,right,shoulder_pan_joint,0,8.9159,0,0,-0.7137533,0,0.7003971,NULL,HEADSET
2026-08-25T18:00:58.151Z,right,shoulder_lift_joint,NULL,NULL,NULL,0,0,-0.612769,0.7902622,NULL,HEADSET
2026-08-25T18:00:58.151Z,right,elbow_joint,-42.5,0,0,0,0,-0.5418991,0.8404436,NULL,HEADSET
2026-08-25T18:00:58.151Z,right,wrist_1_joint,-39.225,0,-10.915,0,0,0.9940882,0.1085762,NULL,HEADSET
2026-08-25T18:00:58.151Z,right,wrist_2_joint,0,-9.465002,0,0,0.4439438,0,0.8960546,NULL,HEADSET
2026-08-25T18:00:58.151Z,right,wrist_3_joint,0,0,-8.23,0,0,-0.2625185,0.964927,NULL,HEADSET
2026-08-25T18:00:58.151Z,right,gripper,NULL,NULL,NULL,0,0,0,1,0.410191,HEADSET
2026-08-25T18:00:58.173Z,right,endEffector,0.2087786,0.02592243,0.523674,0.6811764,0.02380094,-0.7207341,0.1263907,NULL,HEADSET
2026-08-25T18:00:58.173Z,right,base,0.09505305,-0.6141337,0.7220268,0.08913276,0.9263672,0.001964698,0.3659171,NULL,HEADSET
2026-08-25T18:00:58.173Z,right,shoulder_pan_joint,0,8.9159,0,0,-0.7131561,0,0.7010053,NULL,HEADSET
2026-08-25T18:00:58.173Z,right,shoulder_lift_joint,NULL,NULL,NULL,0,0,-0.6128171,0.7902247,NULL,HEADSET
2026-08-25T18:00:58.173Z,right,elbow_joint,-42.5,0,0,0,0,-0.5415974,0.8406381,NULL,HEADSET
2026-08-25T18:00:58.173Z,right,wrist_1_joint,-39.225,0,-10.915,0,0,0.994081,0.108642,NULL,HEADSET
2026-08-25T18:00:58.173Z,right,wrist_2_joint,0,-9.465002,0,0,0.443387,0,0.8963303,NULL,HEADSET
2026-08-25T18:00:58.173Z,right,wrist_3_joint,0,0,-8.23,0,0,-0.2627315,0.964869,NULL,HEADSET
2026-08-25T18:00:58.173Z,right,gripper,NULL,NULL,NULL,0,0,0,1,0.4101903,HEADSET
2026-08-25T18:00:58.194Z,right,endEffector,0.208743,0.02526202,0.5239005,0.6811633,0.02437557,-0.720751,0.1262559,NULL,HEADSET
2026-08-25T18:00:58.194Z,right,base,0.09578836,-0.6150841,0.7211185,0.08910442,0.9264398,0.002605606,0.3657362,NULL,HEADSET
2026-08-25T18:00:58.194Z,right,shoulder_pan_joint,0,8.9159,0,0,-0.7128835,0,0.7012825,NULL,HEADSET
2026-08-25T18:00:58.194Z,right,shoulder_lift_joint,NULL,NULL,NULL,0,0,-0.6128142,0.7902271,NULL,HEADSET
2026-08-25T18:00:58.194Z,right,elbow_joint,-42.5,0,0,0,0,-0.5414761,0.8407162,NULL,HEADSET
2026-08-25T18:00:58.194Z,right,wrist_1_joint,-39.225,0,-10.915,0,0,0.9940766,0.1086823,NULL,HEADSET
2026-08-25T18:00:58.194Z,right,wrist_2_joint,0,-9.465002,0,0,0.4431378,0,0.8964536,NULL,HEADSET
2026-08-25T18:00:58.194Z,right,wrist_3_joint,0,0,-8.23,0,0,-0.2628291,0.9648424,NULL,HEADSET
2026-08-25T18:00:58.194Z,right,gripper,NULL,NULL,NULL,0,0,0,1,0.4088265,HEADSET
2026-08-25T18:00:58.217Z,right,endEffector,0.2084138,0.02535675,0.5238141,0.6812176,0.02443422,-0.7207053,0.1262121,NULL,HEADSET
2026-08-25T18:00:58.217Z,right,base,0.09571403,-0.6150144,0.7210855,0.08907568,0.9263903,0.002625768,0.3658683,NULL,HEADSET
2026-08-25T18:00:58.217Z,right,shoulder_pan_joint,0,8.9159,0,0,-0.7126241,0,0.7015461,NULL,HEADSET
2026-08-25T18:00:58.217Z,right,shoulder_lift_joint,NULL,NULL,NULL,0,0,-0.6127893,0.7902464,NULL,HEADSET
2026-08-25T18:00:58.217Z,right,elbow_joint,-42.5,0,0,0,0,-0.5413787,0.8407788,NULL,HEADSET
2026-08-25T18:00:58.217Z,right,wrist_1_joint,-39.225,0,-10.915,0,0,0.9940715,0.108728,NULL,HEADSET
2026-08-25T18:00:58.217Z,right,wrist_2_joint,0,-9.465002,0,0,0.4429051,0,0.8965685,NULL,HEADSET
2026-08-25T18:00:58.217Z,right,wrist_3_joint,0,0,-8.23,0,0,-0.2629217,0.9648172,NULL,HEADSET
2026-08-25T18:00:58.217Z,right,gripper,NULL,NULL,NULL,0,0,0,1,0.4084475,HEADSET
2026-08-25T18:00:58.233Z,right,endEffector,0.2073855,0.0254708,0.5227872,0.6807983,0.02493496,-0.7211163,0.1260294,NULL,HEADSET
2026-08-25T18:00:58.233Z,right,base,0.09562242,-0.6149909,0.7212608,0.08912474,0.9263759,0.002347497,0.365895,NULL,HEADSET
2026-08-25T18:00:58.233Z,right,shoulder_pan_joint,0,8.9159,0,0,-0.7123578,0,0.7018165,NULL,HEADSET
